Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2025,Asotin,WA,Passenger,62,31,93,12211,12304,0.76
August 31 2024,Pend Oreille,WA,Truck,3,0,3,5538,5541,0.05
October 31 2021,Columbia,WA,Passenger,7,2,9,2427,2436,0.37
July 31 2020,Allegheny,PA,Passenger,2,0,2,84,86,2.33
February 28 2017,Wayne,MI,Passenger,0,2,2,71,73,2.74
September 30 2021,Lincoln,WA,Truck,0,0,0,4777,4777,0
May 31 2019,Dakota,MN,Passenger,0,2,2,39,41,4.88
January 31 2020,Rogers,OK,Passenger,1,0,1,9,10,10
August 31 2022,Wood,OH,Passenger,0,1,1,6,7,14.29
November 30 2017,Norfolk,VA,Passenger,1,1,2,298,300,0.67
July 31 2025,Johnson,MO,Passenger,1,0,1,30,31,3.23
October 31 2020,King,WA,Passenger,25844,8012,33856,1370520,1404376,2.41
January 31 2026,Clark,NV,Passenger,9,4,13,405,418,3.11
July 31 2025,Dallas,TX,Passenger,1,0,1,82,83,1.2
October 31 2020,Botetourt,VA,Passenger,1,0,1,0,1,100
March 31 2023,Newport,RI,Passenger,0,2,2,72,74,2.7
June 30 2022,Williamsburg,VA,Passenger,0,1,1,8,9,11.11
August 31 2025,Albemarle,VA,Passenger,1,0,1,17,18,5.56
September 30 2025,Hillsborough,FL,Passenger,2,3,5,102,107,4.67
August 31 2018,Prince William,VA,Passenger,0,5,5,252,257,1.95
February 29 2024,San Diego,CA,Truck,1,0,1,475,476,0.21
January 31 2025,Hamilton,OH,Passenger,3,0,3,44,47,6.38
April 30 2017,Wahkiakum,WA,Truck,0,0,0,1631,1631,0
November 30 2021,Solano,CA,Passenger,1,0,1,200,201,0.5
October 31 2024,Providence,RI,Passenger,1,0,1,23,24,4.17
September 30 2023,Escambia,FL,Truck,1,0,1,30,31,3.23
December 31 2019,Charles,MD,Passenger,0,1,1,88,89,1.12
December 31 2019,Washtenaw,MI,Passenger,1,0,1,46,47,2.13
August 31 2025,Garfield,WA,Passenger,0,4,4,1315,1319,0.3
March 31 2022,Hennepin,MN,Passenger,2,1,3,91,94,3.19
May 31 2020,Nueces,TX,Passenger,1,0,1,84,85,1.18
October 31 2025,Tooele,UT,Passenger,1,0,1,9,10,10
May 31 2019,Lake,CA,Passenger,0,1,1,13,14,7.14
December 31 2022,Yakima,WA,Truck,6,0,6,61078,61084,0.01
October 31 2021,Klickitat,WA,Passenger,86,52,138,15321,15459,0.89
May 31 2022,Larimer,CO,Passenger,1,0,1,58,59,1.69
March 31 2022,Burlington,NJ,Passenger,0,1,1,113,114,0.88
January 31 2020,Lake,FL,Passenger,1,0,1,30,31,3.23
February 28 2023,Essex,MA,Passenger,2,0,2,19,21,9.52
August 31 2024,Dallas,TX,Passenger,1,0,1,110,111,0.9
May 31 2020,Chelan,WA,Truck,0,0,0,22419,22419,0
January 31 2021,Pinellas,FL,Passenger,1,1,2,119,121,1.65
May 31 2025,Forsyth,GA,Passenger,2,0,2,12,14,14.29
March 31 2024,Cleveland,OK,Passenger,1,0,1,30,31,3.23
November 30 2022,Currituck,NC,Passenger,1,0,1,24,25,4
August 31 2023,McLennan,TX,Passenger,1,0,1,17,18,5.56
July 31 2019,Lee,FL,Passenger,1,0,1,60,61,1.64
July 31 2023,Okaloosa,FL,Passenger,2,3,5,117,122,4.1
April 30 2021,Chelan,WA,Truck,0,0,0,23042,23042,0
July 31 2019,Douglas,WA,Passenger,60,37,97,28061,28158,0.34
November 30 2023,Yakima,WA,Truck,16,0,16,60766,60782,0.03
July 31 2021,Adams,WA,Passenger,16,12,28,13016,13044,0.21
September 30 2020,Grays Harbor,WA,Truck,0,0,0,21059,21059,0
February 29 2024,Oldham,KY,Passenger,0,1,1,5,6,16.67
June 30 2024,Lee,AL,Passenger,1,0,1,19,20,5
November 30 2018,Collin,TX,Passenger,2,1,3,172,175,1.71
April 30 2021,Skagit,WA,Truck,1,0,1,32971,32972,0
September 30 2017,Mercer,NJ,Passenger,0,1,1,14,15,6.67
January 31 2020,Grays Harbor,WA,Truck,0,0,0,20802,20802,0
December 31 2023,Portsmouth,VA,Passenger,1,3,4,64,68,5.88
August 31 2018,Lee,FL,Passenger,1,0,1,63,64,1.56
June 30 2021,Allegheny,PA,Passenger,2,1,3,77,80,3.75
August 31 2019,Wise,TX,Passenger,1,0,1,8,9,11.11
June 30 2020,Stafford,VA,Passenger,1,1,2,99,101,1.98
April 30 2023,Garfield,WA,Truck,0,0,0,977,977,0
March 31 2024,San Juan,WA,Truck,31,0,31,5863,5894,0.53
November 30 2024,San Diego,CA,Passenger,34,15,49,2191,2240,2.19
June 30 2021,Plaquemines,LA,Passenger,0,1,1,18,19,5.26
September 30 2021,King,WA,Passenger,32824,9686,42510,1362300,1404810,3.03
December 31 2017,Pima,AZ,Passenger,1,1,2,453,455,0.44
August 31 2017,Asotin,WA,Passenger,8,5,13,12436,12449,0.1
May 31 2025,Middlesex,MA,Passenger,7,2,9,83,92,9.78
July 31 2020,Monterey,CA,Passenger,0,2,2,169,171,1.17
March 31 2025,Middlesex,CT,Passenger,1,0,1,6,7,14.29
January 31 2023,Hanover,VA,Passenger,1,0,1,4,5,20
August 31 2019,Kitsap,WA,Passenger,1112,633,1745,181246,182991,0.95
December 31 2017,Missoula,MT,Passenger,1,0,1,71,72,1.39
May 31 2021,Contra Costa,CA,Passenger,4,4,8,255,263,3.04
June 30 2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88
October 31 2024,Shiawassee,MI,Passenger,1,0,1,0,1,100
July 31 2019,Prince William,VA,Passenger,1,4,5,244,249,2.01
December 31 2018,Lincoln,WA,Truck,0,0,0,4635,4635,0
January 31 2026,Burlington,NJ,Passenger,0,3,3,70,73,4.11
April 30 2025,Muscogee,GA,Passenger,2,2,4,116,120,3.33
August 31 2023,Sauk,WI,Passenger,0,1,1,1,2,50
October 31 2022,Okaloosa,FL,Passenger,1,3,4,122,126,3.17
April 30 2023,Polk,OR,Passenger,1,1,2,26,28,7.14
August 31 2022,Middlesex,MA,Passenger,1,1,2,112,114,1.75
March 31 2017,Madison,ID,Passenger,1,0,1,43,44,2.27
March 31 2024,Asotin,WA,Truck,2,0,2,6547,6549,0.03
September 30 2024,Middlesex,MA,Passenger,6,2,8,100,108,7.41
February 29 2020,Ferry,WA,Truck,0,0,0,3582,3582,0
August 31 2020,Cameron,TX,Passenger,1,0,1,26,27,3.7
April 30 2020,Suffolk,VA,Passenger,1,0,1,130,131,0.76
February 29 2024,Whitman,WA,Passenger,206,115,321,21813,22134,1.45
August 31 2020,Skamania,WA,Truck,0,0,0,4022,4022,0
May 31 2023,Morris,NJ,Passenger,1,0,1,13,14,7.14
July 31 2022,Manassas,VA,Passenger,0,1,1,7,8,12.5
August 31 2019,Guadalupe,TX,Passenger,1,0,1,75,76,1.32
March 31 2024,La Plata,CO,Passenger,1,0,1,10,11,9.09
July 31 2024,Fairfax,VA,Passenger,26,8,34,624,658,5.17
August 31 2024,Johnson,MO,Passenger,1,0,1,31,32,3.12
January 31 2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03
March 31 2020,New London,CT,Passenger,0,1,1,239,240,0.42
November 30 2021,Platte,MO,Passenger,1,1,2,21,23,8.7
March 31 2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88
January 31 2025,Richmond,GA,Passenger,1,2,3,58,61,4.92
July 31 2022,Lake,IL,Passenger,5,0,5,157,162,3.09
October 31 2021,Lewis,WA,Truck,0,0,0,26704,26704,0
October 31 2024,Shelby,TN,Passenger,1,1,2,66,68,2.94
November 30 2023,Dallas,TX,Truck,1,0,1,19,20,5
May 31 2023,Jefferson,NY,Passenger,2,3,5,189,194,2.58
